推流,#genre#
凤凰中文,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=凤凰中文台
凤凰资讯,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=凤凰资讯台
凤凰香港,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=凤凰香港台
中天新闻,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=中天新闻
有线新闻台,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=HOY78
无线新闻台,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=TVB无线新闻台
Now新闻台,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now新闻台
天映经典,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=天映经典
天映经典粤,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=天映频道(粤)
天映经典国,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=天映频道(国)
美亚电影粤,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=美亚电影(粤)
美亚电影国,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=美亚电影(国)
美亚电影,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=美亚电影台
中国电影,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=中国电影频道
POPC,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=POPC
Now爆谷,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now爆谷台
Now爆谷星影,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now星影台
Now财经,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now财经台
Now直播,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now直播台
Now华剧,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now華劇台
Now剧集,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=Now劇集台
Now紫金,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=NowJelli紫金国际
TVBPlus,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=TVBPlus
黄金翡翠台,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_iNjIn.php?id=黄金翡翠台
