
影视资源交流群：https://t.me/mejo168

WEB港湾(影视专用),#genre#
HBO family,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-74-0.html  
HBO HiTS,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-75-0.html  
HBO Signature,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-76-0.html  
ELTA影劇,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-54-0.html
ELTA娛樂,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-55-0.html
ELTA綜合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-56-0.html
ELTA娛樂,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-55-0.html  
ELTA綜合,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-56-0.html  
ELTV生活英語台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-57-0.html  
EYE TV 旅遊,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-58-0.html  
EYE TV 戲劇,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-59-0.html  
博斯高球I,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-13-0.html
博斯高球II,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-14-0.html
博斯魅力,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-15-0.html
博斯網球,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-16-0.html
博斯無限,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-17-0.html
博斯無限II,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-18-0.html
博斯運動II,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-20-0.html
采昌,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-21-0.html
CCTV體育,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-0-6-0.html
CCTV體育賽事,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-0-7-0.html
CCTV新聞,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-0-15-0.html
湖南衛視,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-1-0-0.html
翡翠台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-0-0.html
翡翠台·東南亞版,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-1-0.html
鳳凰香港台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-3-0.html
鳳凰中文,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-4-0.html
鳳凰資訊,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-5-0.html
HKS,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-6-0.html
HOY 78,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-7-0.html
RHK 31,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-8-0.html
HOY 78,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-9-0.html
VIU tv,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-10-0.html
美亚电影台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-11-0.html
好莱坞电影,video://http://a68c7fdd1bed6600da71182507b4eab9.everydaytv.top/play-3-38-0.html
明珠台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-12-0.html
HOY 77,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-14-0.html
HOY 76,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-15-0.html
NOW财经,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-17-0.html
NOW新闻,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-18-0.html
中天新闻,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-20-0.html
东森新闻,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-21-0.html
TVB+,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-25-0.html
ViuTV6,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-26-0.html
無線新聞台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-30-0.html
無線新聞台·海外版,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-31-0.html
星河台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-32-0.html
娛樂新聞台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-2-34-0.html
afn,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-0-0.html
amc電影台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-1-0.html
ANIMAX,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-2-0.html
Arirang,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-3-0.html
AXN,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-4-0.html
BBC earth,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-5-0.html
BBC lifestyle,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-6-0.html
八大第1台,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-3-7-0.html
